dcs_code;dep;dep_desc;class;class_desc
171 11;171;DIAMOND RINGS - ROUND         ;11;RD DIA .18CT - .22CT
171 12;171;DIAMOND RINGS - ROUND         ;12;RD DIA .23CT - .29CT
171 13;171;DIAMOND RINGS - ROUND         ;13;RD DIA .30CT - .37CT
171 14;171;DIAMOND RINGS - ROUND         ;14;RD DIA .38CT - .44CT
171 15;171;DIAMOND RINGS - ROUND         ;15;RD DIA .45CT - .49CT
171 16;171;DIAMOND RINGS - ROUND         ;16;RD DIA .50CT - .59CT
171 17;171;DIAMOND RINGS - ROUND         ;17;RD DIA .60CT - .69CT
171 18;171;DIAMOND RINGS - ROUND         ;18;RD DIA .70CT - .79CT
171 19;171;DIAMOND RINGS - ROUND         ;19;RD DIA .80CT - .99CT
171 21;171;DIAMOND RINGS - ROUND         ;21;RD DIA 1.00CT - 1.24CT
171 25;171;DIAMOND RINGS - ROUND         ;25;RD DIA 2.00CT - 2.24CT
152 41;152;DIAMOND JWLRY COLLECTIONS     ;41;DIAMOND PENDANTS
232 19;232;GIFTS                         ;19;NOVELTY
188 11;188;SCHLUMBERGER JEWELRY          ;11;DIAMOND EARRINGS
232 31;232;GIFTS                         ;31;BOOK MARKS
170 32;170;SOLITAIRE JEWELRY - ROUND     ;32;RD DIA .18CT - .22CT
170 33;170;SOLITAIRE JEWELRY - ROUND     ;33;RD DIA .23CT - .29CT
170 34;170;SOLITAIRE JEWELRY - ROUND     ;34;RD DIA .30CT - .37CT
170 35;170;SOLITAIRE JEWELRY - ROUND     ;35;RD DIA .38CT - .44CT
170 36;170;SOLITAIRE JEWELRY - ROUND     ;36;RD DIA .45CT - .49CT
170 37;170;SOLITAIRE JEWELRY - ROUND     ;37;RD DIA .50CT - .59CT
152 11;152;DIAMOND JWLRY COLLECTIONS     ;11;DIAMOND EARRINGS
170 12;170;SOLITAIRE JEWELRY - ROUND     ;12;RD DIA .36TW - .45TW
170 13;170;SOLITAIRE JEWELRY - ROUND     ;13;RD DIA .46TW - .59TW
170 14;170;SOLITAIRE JEWELRY - ROUND     ;14;RD DIA .60TW - .75TW
170 15;170;SOLITAIRE JEWELRY - ROUND     ;15;RD DIA .76TW - .89TW
170 18;170;SOLITAIRE JEWELRY - ROUND     ;18;RD DIA 1.20TW - 1.39TW
170 17;170;SOLITAIRE JEWELRY - ROUND     ;17;RD DIA 1.00TW - 1.19TW
170 16;170;SOLITAIRE JEWELRY - ROUND     ;16;RD DIA .90TW - .99TW
170 24;170;SOLITAIRE JEWELRY - ROUND     ;24;RD DIA 3.00TW - 3.39TW
115 82;115;SILVER JEWELRY CONCEPTS       ;82;SS CUFFLINKS
179 12;179;BAND RINGS                    ;12;MILLGRAIN - 18K
179 22;179;BAND RINGS                    ;22;MILLGRAIN - PT
179 32;179;BAND RINGS                    ;32;MILLGRAIN - 18K/PT
188 15;188;SCHLUMBERGER JEWELRY          ;15;PEARL EARRINGS
145 16;145;DIA AND COLOR BAND RINGS      ;16;BEZEL DIAMONDS
172 13;172;DIAMOND RINGS - FANCY         ;13;SCMX DIA .30CT- .37CT
232 52;232;GIFTS                         ;52;CARD CASES
232 51;232;GIFTS                         ;51;MONEYCLIPS
232 41;232;GIFTS                         ;41;ICONIC KEYRINGS
232 25;232;GIFTS                         ;25;PURSE PENS
115 84;115;SILVER JEWELRY CONCEPTS       ;84;SS SHIRT STUDS
232 42;232;GIFTS                         ;42;WHIMSY KEYRINGS
145 14;145;DIA AND COLOR BAND RINGS      ;14;FANCY DIAMONDS
179 15;179;BAND RINGS                    ;15;18K LUCIDA BAND RING
179 25;179;BAND RINGS                    ;25;PLATINUM LUCIDA BAND RING
232 21;232;GIFTS                         ;21;BALLPOINT PENS
258 22;258;BABY GOODS                    ;22;SPOONS
145 18;145;DIA AND COLOR BAND RINGS      ;18;LUCIDA DIAMONDS
152 41;152;DIA AND COLOR BAND RINGS      ;41;DIAMOND PENDANTS
230 27;230;SILVER FLATWARE               ;27;BUTTER SPRDR HOLLOW HDL
230 34;230;SILVER FLATWARE               ;34;CREAM SOUP SPOON
230 23;230;SILVER FLATWARE               ;23;STEAK KNIFE
230 42;230;SILVER FLATWARE               ;42;SALAD SERVING FORK
230 61;230;SILVER FLATWARE               ;61;SALAD SERVING SPOON
230 76;230;SILVER FLATWARE               ;76;GRAVY LADLE
258 15;258;BABY GOODS                    ;15;STERLING SILVER FRAMES
145 17;145;DIA AND COLOR BAND RINGS      ;17;SHARED-PRONG
136 13;136;GOLD JEWELRY COLLECTIONS      ;13;18K AND/OR PT EARRINGS
145 12;145;DIA AND COLOR BAND RINGS      ;12;CHANNEL DIAMONDS
136 66;136;DIA AND COLOR BAND RINGS      ;66;COLORD STONE ACC BRACELET
145 22;145;DIA AND COLOR BAND RINGS      ;22;CHANNEL SAPH & DIA/SAPH
117 91;117;SILVER JEWELRY ELEMENTS       ;91;SS BRACELET CHAINS
117 92;117;SILVER JEWELRY ELEMENTS       ;92;SS NECKLACE CHAINS
130 21;130;GOLD JEWELRY ELEMENTS         ;21;GOLD TAGS
115 11;115;SILVER JEWELRY CONCEPTS       ;11;SILVER EARRINGS
115 61;115;SILVER JEWELRY CONCEPTS       ;61;SS BRACELETS
115 51;115;SILVER JEWELRY CONCEPTS       ;51;SS NECKLACES
130 31;130;GOLD JEWELRY ELEMENTS         ;31;GOLD WHIMSY
136 61;136;GOLD JEWELRY COLLECTIONS      ;61;DIAMOND ACCENT BRACELETS
136 63;136;GOLD JEWELRY COLLECTIONS      ;63;18K AND/OR PT BRACELETS
136 23;136;GOLD JEWELRY COLLECTIONS      ;23;18K AND/OR PT RINGS
136 41;136;GOLD JEWELRY COLLECTIONS      ;41;DIAMOND ACCENT PENDANTS
136 21;136;GOLD JEWELRY COLLECTIONS      ;21;DIAMOND ACCENT RINGS
136 43;136;GOLD JEWELRY COLLECTIONS      ;43;18K AND/OR PT PENDANTS
268 11;268;TIFFANY WATCH COLLECTIONS     ;11;LDS ST QUARTZ STRAP
232 33;232;GIFTS                         ;33;PAPER WEIGHTS
232 54;232;GIFTS                         ;54;OTHER ACCESSORIES
232 86;232;GIFTS                         ;86;OTHER CLOCKS
232 24;232;GIFTS                         ;24;FOUNTAIN PENS
250 23;250;CHINA GOODS                   ;23;MUGS
258 32;258;BABY GOODS                    ;32;PLUSH OBJECTS
258 23;258;BABY GOODS                    ;23;CHINA BABY SETS
258 14;258;BABY GOODS                    ;14;WHIMSICAL BANKS
232 18;232;GIFTS                         ;18;ORNAMENTS
252 21;252;CRYSTAL GOODS                 ;21;GLASSES
117 52;117;SILVER JEWELRY ELEMENTS       ;52;SS & ENAMEL KEYS
252 41;252;CRYSTAL GOODS                 ;41;ORNAMENTS
232 34;232;GIFTS                         ;34;ACCESSORIES
115 64;115;SILVER JEWELRY CONCEPTS       ;64;SS ENAMEL BRACELETS
115 54;115;SILVER JEWELRY CONCEPTS       ;54;SS ENAMEL NECKLACES
145 27;145;DIA AND COLOR BAND RINGS      ;27;SHARED-PRONG
250 39;250;CHINA GOODS                   ;39;GIFT DISHES
190 13;190;PICASSO GOLD JEWELRY          ;13;ALL GOLD EARRINGS
191 11;191;PICASSO SILVER JEWELRY        ;11;SS EARRINGS
115 41;115;SILVER JEWELRY CONCEPTS       ;41;SILVER PENDANTS
190 23;190;PICASSO GOLD JEWELRY          ;23;ALL GOLD RINGS
190 15;190;PICASSO GOLD JEWELRY          ;15;PEARL ACCENT EARRINGS
190 25;190;PICASSO GOLD JEWELRY          ;25;PEARL ACCENT RINGS
190 45;190;PICASSO GOLD JEWELRY          ;45;PEARL ACCENT PENDANTS
190 21;190;PICASSO GOLD JEWELRY          ;21;DIAMOND ACCENT RINGS
